vintage,fips,county,TotalBSLs,UnservedBSLs,UniqueProviders,unserved_pct,infrastructure_score
June_2022,15001,Hawaii (Big Island),77399,7664,10,9.90193671752865,90.09806328247136
June_2022,15003,Honolulu (Oahu),176657,1024,15,0.5796543584460282,99.42034564155398
June_2022,15007,Kauai,22432,661,11,2.9466833095577747,97.05331669044223
June_2022,15009,Maui,43290,1126,10,2.601062601062601,97.3989373989374
June_2023,15001,Hawaii (Big Island),75086,7932,11,10.56388674320113,89.43611325679886
June_2023,15003,Honolulu (Oahu),173315,583,15,0.3363817326832646,99.66361826731674
June_2023,15007,Kauai,17949,212,9,1.181124296618196,98.8188757033818
June_2023,15009,Maui,42401,992,10,2.3395674630315324,97.66043253696847
